country,country3,US,color,SPI,GDP_USD_2018,HDIrank,HDIindex,HDI_cat,happiness,genderequality_index,infantmort,birth_MF,sixty_MF,logGDP
Maldives,MDV,Non US,#545454,NA,4222767413,101,0.7124174664008122,High,NA,0.649594117443116,0.0070999999999999995,78.4,21,22.163756535132354
Mali,MLI,Non US,#545454,44.69,14034980334,182,0.420896861219084,Low,4.016027927398682,0.590516500070532,0.0674,58,15.4,23.364818645548016
Malta,MLT,Non US,#545454,NA,11279535398,29,0.8753871392370755,Very High,6.590842247009277,0.664292883946002,0.0057,81.5,23.9,23.146255894047503
Marshall Islands,MHL,Non US,#545454,NA,194497900,106,NA,High,NA,NA,0.0287,NA,NA,19.08593192404932
Mauritania,MRT,Non US,#545454,41.84,4739298311,159,0.5164198020949057,Low,4.47214937210083,0.623778224891117,0.0545,63.9,16.5,22.27915492604103
Mauritius,MUS,Non US,#545454,73.79,12232463656,65,0.7876342090264797,High,5.610003471374512,0.65197417068304,0.012199999999999999,74.8,20.7,23.227359210021564
Mexico,MEX,Non US,#545454,68.65,107691e7,74,0.7722166211317996,High,6.8241729736328125,0.699988871447193,0.012199999999999999,76.6,22.3,27.705116945151403
Micronesia (Federated States of),FSM,Non US,#545454,NA,329895600,131,0.6267320038986718,Medium,NA,NA,0.027399999999999997,69.6,17.3,19.614286798734906
Moldova,MDA,Non US,#545454,67.1,6795741776,112,0.6966662491101508,High,5.577784061431885,0.741327817844598,0.0135,71.5,17.6,22.6395620435657
Monaco,MCO,Non US,#545454,NA,NA,NA,NA,NA,NA,NA,0.0028,NA,NA,NA
Mongolia,MNG,Non US,#545454,64.18,11183458131,92,0.7425751505305956,High,5.056999683380127,0.705409311500611,0.0154,69.8,17.3,23.13770157088857
Montenegro,MNE,Non US,#545454,71.42,4374130531,50,0.8103067460337161,Very High,5.304066181182861,0.681293860394516,0.0035,76.8,20.2,22.19897360123399
Morocco,MAR,Non US,#545454,64.23,103606e6,123,0.6623283972834622,Medium,5.386307239532471,0.596584035223007,0.0209,76,20.5,25.363861080152695
Mozambique,MOZ,Non US,#545454,43.37,11014862242,180,0.4347786717879721,Low,NA,0.749589253183865,0.055200000000000006,60.1,17.9,23.12251131072215
Myanmar (Burma),MMR,Non US,#545454,49.65,63225097051,148,0.5740466052209053,Medium,4.623119831085205,NA,0.0399,66.8,16.9,24.86996716451115
Namibia,NAM,Non US,#545454,NA,11309232188,129,0.6446403769745731,Medium,NA,0.764551538230757,0.0327,63.7,16.7,23.148885236883128
Nauru,NRU,Non US,#545454,NA,102060129.6,NA,NA,NA,NA,NA,0.0281,NA,NA,18.441072703440565
Nepal,NPL,Non US,#545454,52.68,21131983246,149,0.5693033764385944,Medium,5.099539756774902,0.660755081271519,0.0288,70.2,17.6,23.774053523422122
Netherlands,NLD,Non US,#545454,89.1,777228e6,10,0.9280839714514447,Very High,7.540877342224121,0.755820650248204,0.0034,81.6,24,27.378999580563487
New Zealand,NZL,Non US,#545454,87.83,189286e6,16,0.9154822900814985,Very High,7.2256879806518555,0.780711036269186,0.0045,82.2,25.3,25.966524935744243
Nicaragua,NIC,Non US,#545454,62.47,13184989878,124,0.6566258270342807,Medium,6.012739658355713,0.779538035713852,0.015300000000000001,75.5,22.8,23.30234488906081
Niger,NER,Non US,#545454,36.87,7606749314,189,0.35094402168132993,Low,4.234645843505859,NA,0.0499,59.8,16.2,22.752301757771523
Nigeria,NGA,Non US,#545454,48.12,404653e6,157,0.5302561405141523,Low,5.219567775726318,0.642870263914071,0.06659999999999999,55.2,13.9,26.726295746675046
Niue,NIU,Non US,#545454,NA,NA,NA,NA,NA,NA,NA,0.0189,NA,NA,NA
North Korea,PRK,Non US,#545454,NA,NA,NA,NA,NA,NA,NA,0.015099999999999999,71.9,17.8,NA
Northern Mariana Islands,MNP,Non US,#545454,NA,1242e6,NA,NA,NA,NA,NA,NA,NA,NA,20.9399888204577
Norway,NOR,Non US,#545454,89.55,371075e6,1,0.9512483553214962,Very High,7.596331596374512,0.841951230433606,0.0021000000000000003,82.5,24.7,26.63967003545724
Oman,OMN,Non US,#545454,67.72,66824447334,48,0.82217866506432,Very High,NA,0.612173672843953,0.009699999999999999,77,21.2,24.92533482858927
Pakistan,PAK,Non US,#545454,46.61,278655e6,150,0.5595986310062098,Medium,5.548508167266846,0.555905449892576,0.0629,66.5,17.8,26.353240294457887
Palau,PLW,Non US,#545454,NA,302699800,60,0.7975219363566179,High,NA,NA,0.0136,NA,NA,19.528252113271545
Palestinian Territories,PSE,Non US,#545454,NA,134257e5,119,0.6890255336500877,Medium,4.906618118286133,NA,NA,NA,NA,23.32043661750902
Panama,PAN,Non US,#545454,71.91,57820916600,66,0.7848489537681295,High,6.117638111114502,0.720702274059854,0.0143,78,24,24.7806164260551
Papua New Guinea,PNG,Non US,#545454,35.83,19904808312,153,0.5428877007279085,Low,NA,NA,0.0431,65.9,16.9,23.71422716320914
Paraguay,PRY,Non US,#545454,63.69,27424071373,110,0.7015358727488171,High,5.801380157470703,0.676362256056304,0.0184,74.2,21.2,24.034686981932783
Peru,PER,Non US,#545454,68.75,19164e7,89,0.7478389874409244,High,5.700628757476807,0.68678170812875206,0.0121,75.9,21.6,25.97888444896133
Philippines,PHL,Non US,#545454,62.68,304889e6,113,0.6957943328974255,Medium,5.430832862854004,0.786344665733629,0.022699999999999998,69.3,17.6,26.443213612887387
Poland,POL,Non US,#545454,81.69,4714e8,33,0.8604198352360831,Very High,6.162076473236084,0.726739972658583,0.0040999999999999995,77.8,21.8,26.878972827448443
Portugal,PRT,Non US,#545454,84.66,205184e6,41,0.8447151672085784,Very High,5.446637153625488,0.736894766097802,0.0031,81.5,24.5,26.047172974493446
Puerto Rico,PRI,Non US,#545454,NA,105035e6,NA,NA,NA,NA,NA,NA,NA,NA,25.377559464894055
Qatar,QAT,Non US,#545454,70.24,152452e6,37,0.8548970970597372,Very High,NA,0.642570966696066,0.0067,78.1,20.9,25.75011562935005
Romania,ROU,Non US,#545454,74.05,187806e6,52,0.806921214299936,Very High,5.968870639801025,0.690152414550217,0.0072,75.2,20.1,25.95867535209201
Russia,RUS,Non US,#545454,68.94,128473e7,49,0.8147656495518454,Very High,5.854945659637451,0.690857736593115,0.006900000000000001,71.9,19.4,27.881569695466602
Rwanda,RWA,Non US,#545454,52.26,8475681533,158,0.5203023732923725,Low,3.3329899311065674,0.799810858344565,0.030100000000000002,68,18.5,22.860466903852817
Samoa,WSM,Non US,#545454,NA,786356314.8,104,0.7107872592048272,High,NA,NA,0.0145,75.1,20.1,20.482920574389524
San Marino,SMR,Non US,#545454,NA,1590707965,NA,NA,NA,NA,NA,0.0021000000000000003,NA,NA,21.187445015085576
São Tomé & Príncipe,STP,Non US,#545454,59.78,354238109.3,NA,NA,NA,NA,NA,NA,NA,NA,19.685479870128386
Saudi Arabia,SAU,Non US,#545454,64.15,644936e6,39,0.8539633803400953,Very High,6.473921298980713,0.58287128659882,0.0067,74.8,18.7,27.192416924012875
Senegal,SEN,Non US,#545454,54.76,14683747154,164,0.4987048593850021,Low,4.594533920288086,0.685122893730414,0.0338,66.8,16.9,23.410007083282654
Serbia,SRB,Non US,#545454,71.49,38299854688,67,0.7854727479931904,High,5.7527546882629395,0.720022824947267,0.0052,76.3,19.8,24.368711939078818
Seychelles,SYC,Non US,#545454,NA,1425929444,62,0.7931018708434019,High,NA,NA,0.0124,73.3,19.6,21.078089679453555
Sierra Leone,SLE,Non US,#545454,42.15,3556036535,184,0.41348796893971784,Low,4.732953071594238,NA,0.0847,53.1,13.3,21.991912428729766
Singapore,SGP,Non US,#545454,84.08,309764e6,9,0.930104591364359,Very High,6.033480644226074,0.711583439100041,0.0022,82.9,25,26.459076554174388
Slovakia,SVK,Non US,#545454,79.83,89768598023,38,0.8529800895385142,Very High,5.993163108825684,0.678731712050063,0.0048,77.4,21.3,25.220501063159613
Slovenia,SVN,Non US,#545454,84.6,44708598649,25,0.8935430504652823,Very High,5.936821460723877,0.785523889711521,0.0018,80.9,23.7,24.52343168357875
Solomon Islands,SLB,Non US,#545454,47.2,1232699140,152,0.5429098901522234,Low,NA,NA,0.0181,71.1,17.7,20.93247202486595
Somalia,SOM,Non US,#545454,NA,6752653099,NA,NA,NA,4.667941093444824,NA,0.08209999999999999,55.4,16.3,22.633201316309968
South Africa,ZAF,Non US,#545454,65.17,295763e6,113,0.6957324537270522,Medium,4.769739627838135,0.763928748532627,0.03,63.6,16.6,26.412824294882824
South Korea,KOR,Non US,#545454,85.37,14148e8,22,0.9003574927047293,Very High,5.970564365386963,0.648623043995878,0.0029,82.7,25.3,27.978009294277737
South Sudan,SSD,Non US,#545454,NA,2904114903,187,0.39419858515913664,Low,2.8881123065948486,NA,0.0625,58.6,16.6,21.789394500274962
Spain,ESP,Non US,#545454,86.72,123726e7,26,0.8888670933931713,Very High,6.318612098693848,0.73844911467769,0.0026,83.1,25.4,27.84392037318664
Sri Lanka,LKA,Non US,#545454,66.96,81788375090,76,0.7680774417416489,High,NA,0.673286918257584,0.0078,75.3,20.8,25.127400956641807
St. Kitts & Nevis,KNA,Non US,#545454,NA,909854629.6,72,0.7742416409955692,High,NA,NA,0.011699999999999999,NA,NA,20.62879539702184
St. Lucia,LCA,Non US,#545454,NA,1667078704,90,0.7450081483378872,High,NA,NA,0.015300000000000001,75.6,22.1,21.23433865255798
St. Vincent & Grenadines,VCT,Non US,#545454,NA,765555555.6,99,0.7214874854174388,High,NA,NA,0.0154,72,19.1,20.456112344693814
Sudan,SDN,Non US,#545454,37.36,95584380032,167,0.49907484550558273,Low,NA,NA,0.0448,65.1,17.9,25.283275254867753
Suriname,SUR,Non US,#545454,66.49,3278425328,100,0.7194555094428272,High,NA,0.678552459517227,0.0181,71.8,19.2,21.91062906113893
Swaziland,SWZ,Non US,#545454,48.55,3720649375,144,0.5861528551179647,Medium,NA,0.665460177326404,0.0412,57.7,16,22.037164053169132
Sweden,SWE,Non US,#545454,88.63,51446e7,7,0.9315839061660123,Very High,7.368744373321533,0.815412852691911,0.0024,82.4,24.6,26.966383643814318
Switzerland,CHE,Non US,#545454,89.04,668745e6,2,0.9431886822134562,Very High,7.45851993560791,0.775890802752056,0.0038,83.3,25.5,27.228668658493163
Syria,SYR,Non US,#545454,NA,NA,155,0.5356407978551503,Low,NA,0.567310643999005,0.0141,63.8,18.5,NA
Taiwan,TWN,Non US,#545454,NA,NA,NA,NA,NA,6.512850761413574,NA,NA,NA,NA,NA
Tajikistan,TJK,Non US,#545454,52.15,6951657159,127,0.6468118707664386,Medium,5.1037211418151855,0.679321271359005,0.0303,70.8,17.7,22.662245908244664
Tanzania,TZA,Non US,#545454,49.9,47388395823,154,0.5331760337662841,Low,2.9027342796325684,0.715725990059733,0.039700000000000006,63.9,17.5,24.58164322181488
Thailand,THA,Non US,#545454,66.72,411755e6,83,0.7480499005885282,High,6.073639869689941,0.699064640254403,0.0085,75.5,22.1,26.743694349221265
Timor-Leste,TLS,Non US,#545454,53.57,2521007679,132,0.6314324501631974,Medium,NA,0.636662292899988,0.0422,68.6,17.1,21.647924531161042
Togo,TGO,Non US,#545454,46.49,4388569576,165,0.5001598768952389,Low,3.8785784244537354,NA,0.0505,60.6,15.3,22.202269174035063
Tonga,TON,Non US,#545454,NA,401562006.2,98,0.7236502962647889,High,NA,NA,0.0141,73.4,18.9,19.81087251579066
Trinidad & Tobago,TTO,Non US,#545454,NA,22320008403,69,0.7845785777192777,High,NA,0.722917450192194,0.0238,71.8,19.6,23.828749350937944
Tunisia,TUN,Non US,#545454,71.74,42062549395,95,0.7323536768876926,High,4.521453380584717,0.635916701243237,0.0116,76,20.1,24.462423618674592
Turkey,TUR,Non US,#545454,67.26,863722e6,64,0.7868511547990595,High,5.326221942901611,0.623026636794988,0.0108,76.4,21.2,27.484516794715592
Turkmenistan,TKM,Non US,#545454,NA,36179885714,108,0.7045414282539293,High,5.887051582336426,NA,0.0417,68.2,17.4,24.311769158091547
Tuvalu,TUV,Non US,#545454,NA,36572611.89,NA,NA,NA,NA,NA,0.0217,NA,NA,17.414810209232254
Uganda,UGA,Non US,#545454,NA,24078931744,162,0.5081062616428281,Low,4.2332611083984375,0.703670066018298,0.037,62.5,17.1,23.904603093612277
Ukraine,UKR,Non US,#545454,67.57,93270479389,88,0.7460888804361642,High,4.028690338134766,0.699811758984328,0.0078,72.5,19.1,25.25876948947041
United Arab Emirates,ARE,Non US,#545454,74.58,357045e6,34,0.8621799163987712,Very High,6.8309502601623535,0.639027558645999,0.0077,77.2,20.2,26.601127661202533
United Kingdom,GBR,Non US,#545454,88.47,265085e7,14,0.9202139670337001,Very High,6.824283599853516,0.752134600610496,0.0037,81.4,24.2,28.605901459212863
United States,USA,US,red,86.4,186245e8,13,0.9223928743957234,Very High,6.803599834442139,0.721992347709239,0.0057,78.5,23.3,30.555499034196238
Uruguay,URY,Non US,#545454,80.12,52687612262,55,0.8021411935198802,Very High,6.171485424041748,0.680505334795007,0.0073,77.1,22.3,24.687646203420332
Uzbekistan,UZB,Non US,#545454,56.36,67067565989,105,0.7029659149210646,High,5.892539024353027,NA,0.0213,72.3,18.4,24.92896639579271
Vanuatu,VUT,Non US,#545454,NA,787942567.4,138,0.6004620893621876,Medium,NA,NA,0.0232,72,18.2,20.484935761155832
Venezuela,VEN,Non US,#545454,NA,NA,78,0.7658619059064578,High,4.041114807128906,0.693707083556543,0.0222,74.1,21.6,NA
Vietnam,VNM,Non US,#545454,NA,205276e6,116,0.6886465208928686,Medium,5.062267303466797,0.70044414223939,0.017,76.3,22.7,26.04762125204322
Yemen,YEM,Non US,#545454,38.22,18213328571,178,0.46158712994690765,Low,3.8256309032440186,0.516216650186404,0.0432,65.3,16.4,23.625419502065693
Zambia,ZMB,Non US,#545454,NA,20954754378,144,0.585757047631983,Medium,4.347543716430664,NA,0.043,62.3,17.5,23.76563139685174
Zimbabwe,ZWE,Non US,#545454,42.59,16619960400,156,0.5319951308483715,Low,3.7354001998901367,0.710286080812047,0.038200000000000005,61.4,17.5,23.533870243699393
